epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,461.912,1.84741,0.88151,0.82215,0.73219,0.45806,0.48742,0.19451,2.37598,1.35849,0.84161,0.00099044,0.00099044,0.00099044
64,469.045,1.87102,0.90478,0.82861,0.81703,0.443,0.49454,0.19231,2.40522,1.55398,0.83888,0.000983366,0.000983366,0.000983366
65,475.708,2.01264,1.04071,0.81167,0.60301,0.49405,0.48051,0.18857,2.4067,1.44805,0.84106,0.000976293,0.000976293,0.000976293
66,482.502,1.87782,0.95808,0.8168,0.53908,0.46826,0.46909,0.16805,2.48718,1.42689,0.84578,0.000969219,0.000969219,0.000969219
67,489.514,1.85611,0.89401,0.81854,0.66505,0.40839,0.4839,0.15993,2.50009,1.57045,0.8455,0.000962146,0.000962146,0.000962146
68,496.473,1.82796,0.86429,0.82793,0.6713,0.39966,0.46072,0.15879,2.47297,1.47024,0.8454,0.000955072,0.000955072,0.000955072
69,503.204,1.86207,0.86439,0.82556,0.76512,0.37518,0.47616,0.17218,2.51689,1.4093,0.85069,0.000947999,0.000947999,0.000947999
70,510.088,1.88865,0.90257,0.80513,0.66779,0.43672,0.4697,0.17204,2.44965,1.36845,0.84942,0.000940925,0.000940925,0.000940925
71,517.004,1.8614,0.90508,0.8109,0.69489,0.42607,0.46738,0.17022,2.44213,1.39198,0.84536,0.000933851,0.000933851,0.000933851
72,523.862,1.90811,0.922,0.82742,0.73118,0.49516,0.51729,0.17864,2.34237,1.35512,0.83847,0.000926778,0.000926778,0.000926778
73,530.884,1.83968,0.87098,0.82168,0.63752,0.49883,0.52483,0.17789,2.37539,1.30062,0.83896,0.000919704,0.000919704,0.000919704
74,538.062,1.76541,0.82546,0.81927,0.75335,0.46021,0.49607,0.15757,2.39072,1.31145,0.83484,0.000912631,0.000912631,0.000912631
75,545.402,1.73603,0.82599,0.81085,0.7404,0.39975,0.4469,0.14537,2.41332,1.32307,0.841,0.000905557,0.000905557,0.000905557
76,554.069,1.74746,0.81295,0.81751,0.6487,0.37823,0.44289,0.1302,2.36975,1.35377,0.83571,0.000898484,0.000898484,0.000898484
77,561.09,1.73518,0.83164,0.80864,0.55156,0.41823,0.41998,0.13683,2.39492,1.3602,0.83846,0.00089141,0.00089141,0.00089141
78,567.833,1.83107,0.84816,0.80385,0.61607,0.29762,0.34555,0.12575,2.42205,1.31643,0.83744,0.000884337,0.000884337,0.000884337
