epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,573.184,1.674,0.76873,0.83012,0.6934,0.7337,0.74133,0.38797,1.95945,0.88246,0.87441,0.000778233,0.000778233,0.000778233
71,581.041,1.76623,0.86533,0.82579,0.86151,0.68306,0.80028,0.41054,1.93291,0.86914,0.86829,0.000768802,0.000768802,0.000768802
72,588.957,1.69881,0.80153,0.83425,0.84059,0.78809,0.82985,0.42849,1.92534,0.85141,0.87083,0.000759371,0.000759371,0.000759371
73,596.684,1.6747,0.74004,0.82055,0.79899,0.83076,0.82273,0.44097,1.78837,0.85349,0.86332,0.000749939,0.000749939,0.000749939
74,604.454,1.682,0.78948,0.82649,0.8365,0.75558,0.80202,0.42851,1.82198,0.85005,0.86765,0.000740508,0.000740508,0.000740508
75,612.175,1.7068,0.77034,0.82854,0.75026,0.84914,0.80713,0.4352,1.79077,0.85212,0.86784,0.000731076,0.000731076,0.000731076
76,619.948,1.62468,0.73161,0.82054,0.81791,0.77577,0.82419,0.4499,1.75246,0.82939,0.86353,0.000721645,0.000721645,0.000721645
77,627.639,1.74609,0.80181,0.82121,0.8303,0.76511,0.82363,0.44997,1.8005,0.83332,0.86464,0.000712214,0.000712214,0.000712214
78,635.406,1.70331,0.80473,0.83429,0.82609,0.79905,0.83253,0.46663,1.74905,0.8043,0.85988,0.000702782,0.000702782,0.000702782
79,643.025,1.58146,0.71404,0.82573,0.83833,0.83178,0.85971,0.48518,1.69297,0.82674,0.8562,0.000693351,0.000693351,0.000693351
80,650.853,1.64471,0.7693,0.81435,0.87063,0.81495,0.85349,0.44375,1.76809,0.86264,0.86505,0.000683919,0.000683919,0.000683919
81,658.544,1.64354,0.73417,0.83565,0.837,0.82305,0.85406,0.44852,1.80324,0.83305,0.86732,0.000674488,0.000674488,0.000674488
